"原文","译文"
"はスパークⅢを唱えた！","施放了闪电Ⅲ！"
"ウォーターⅠ","水流Ⅰ"
"敵単体に水属性のダメージを与える。","对单个敌人造成水属性伤害。"
"はウォーターⅠを唱えた！","施放了水流Ⅰ！"
"ウォーターⅡ","水流Ⅱ"
"はウォーターⅡを唱えた！","施放了水流Ⅱ！"
"ウォーターⅢ","水流Ⅲ"
"はウォーターⅢを唱えた！","施放了水流Ⅲ！"
"ウェーブⅠ","波浪Ⅰ"
"はウェーブⅠを唱えた！","施放了波浪Ⅰ！"
"ウェーブⅡ","波浪Ⅱ"
"はウェーブⅡを唱えた！","施放了海浪Ⅱ！"
"ウェーブⅢ","海浪Ⅲ"
"はウェーブⅢを唱えた！","施放了海浪Ⅲ！"
"ストーンⅠ","磐石Ⅰ"
"敵単体に大地属性のダメージを与える。","对单个敌人造成大地属性伤害。"
"はストーンⅠを唱えた！","施放了磐石Ⅰ！"
"ストーンⅡ","磐石Ⅱ"
"はストーンⅡを唱えた！","施放了磐石Ⅱ！"
"ストーンⅢ","磐石Ⅲ"
"はストーンⅢを唱えた！","施放了磐石Ⅲ！"
"クェイクⅠ","地震Ⅰ"
"はクェイクⅠを唱えた！","施放了地震Ⅰ！"
"クェイクⅡ","地震Ⅱ"
"はクェイクⅡを唱えた！","施放了地震Ⅱ！"
"クェイクⅢ","地震Ⅲ"
"はクェイクⅢを唱えた！","施放了地震Ⅲ！"
"ウィンドⅠ","疾风Ⅰ"
"敵単体に風属性のダメージを与える。","对单个敌人造成风属性伤害。"
"はウィンドⅠを唱えた！","施放了疾风Ⅰ！"
"ウィンドⅡ","疾风Ⅱ"
"はウィンドⅡを唱えた！","施放了疾风Ⅱ！"
"ウィンドⅢ","疾风Ⅲ"
"はウィンドⅢを唱えた！","施放了疾风Ⅲ！"
"トルネードⅠ","龙卷Ⅰ"
"はトルネードⅠを唱えた！","施放了龙卷Ⅰ！"
"トルネードⅡ","龙卷Ⅱ"
"はトルネードⅡを唱えた！","施放了龙卷Ⅱ！"
"トルネードⅢ","龙卷Ⅲ"
"はトルネードⅢを唱えた！","施放了龙卷Ⅲ！"
"セイントⅠ","圣光Ⅰ"
"敵単体に神聖属性のダメージを与える。","对单个敌人造成神圣属性伤害。"
"はセイントⅠを唱えた！","施放了圣光Ⅰ！"
"セイントⅡ","圣光Ⅱ"
"はセイントⅡを唱えた！","施展了圣光Ⅱ！"
"セイントⅢ","圣光Ⅲ"
"はセイントⅢを唱えた！","施展了圣光Ⅲ！"
"スターライトⅠ","星光Ⅰ"
"敵全体に神聖属性のダメージを与える。","对全体敌人造成神圣属性伤害。"
"はスターライトⅠを唱えた！","施展了星光Ⅰ！"
"スターライトⅡ","星光Ⅱ"
"はスターライトⅡを唱えた！","施展了星光Ⅱ！"
"スターライトⅢ","星光Ⅲ"
"はスターライトⅢを唱えた！","施展了星光Ⅲ！"
"シェイドⅠ","影袭Ⅰ"
"敵単体に暗黒属性のダメージを与える。","对单个敌人造成暗黑属性伤害。"
"はシェイドⅠを唱えた！","施展了影袭Ⅰ！"
"シェイドⅡ","影袭Ⅱ"
"はシェイドⅡを唱えた！","施展了影袭Ⅱ！"
"シェイドⅢ","影袭Ⅲ"
"はシェイドⅢを唱えた！","施展了影袭Ⅲ！"
"ダークネスⅠ","暗蚀Ⅰ"
"敵全体に暗黒属性のダメージを与える。","对全体敌人造成暗黑属性伤害。"
"はダークネスⅠを唱えた！","施展了暗蚀Ⅰ！"
"ダークネスⅡ","暗蚀Ⅱ"
"はダークネスⅡを唱えた！","施展了暗蚀Ⅱ！"
"ダークネスⅢ","暗蚀Ⅲ"
"はダークネスⅢを唱えた！","施展了暗蚀Ⅲ！"
"バーストⅠ","爆发Ⅰ"
"敵単体に無属性のダメージを与える。","对单个敌人造成无属性伤害。"
"はバーストⅠを唱えた！","施展了爆发Ⅰ！"
"バーストⅡ","爆发Ⅱ"
"はバーストⅡを唱えた！","施展了爆发Ⅱ！"
"バーストⅢ","爆发Ⅲ"
"はバーストⅢを唱えた！","施展了爆发Ⅲ！"
"ニュークリアⅠ","核爆Ⅰ"
"敵全体に無属性のダメージを与える。","对全体敌人造成无属性伤害。"
"はニュークリアⅠを唱えた！","施放了核爆Ⅰ！"
"ニュークリアⅡ","核爆Ⅱ"
"はニュークリアⅡを唱えた！","施放了核爆Ⅱ！"
"ニュークリアⅢ","核爆Ⅲ"
"はニュークリアⅢを唱えた！","施放了核爆Ⅲ！"
"草原","草原"
"森","森林"
"砂漠","沙漠"
"荒地","荒地"
"毒沼","毒沼"
"雪原","雪原"
"雪原：森","雪原：森林"
"ダメージ床","伤害地板"
"海：浅瀬","海洋：浅滩"
"海：沖合","海洋：近海"
"が出現！","出现了！"
"先制攻撃のチャンス！","先发制人的机会！"
"無事に逃げ出した！","成功逃脱了！"
"逃げ切れなかった！","未能逃脱！"
"戦いに勝った！","战斗胜利了！"
"負けてしまった・・・","失败了……"
"の経験値を獲得！","获得了经验值！"
"お金を","金钱"
"手に入れた！","入手了！"
"を手に入れた！","入手了！"
"の攻撃！","的攻击！"
"会心の一撃！！","会心一击！！"
"痛恨の一撃！！","痛恨一击！！"
"は身を守っている！","正在防御！"
"は様子を見ている・・・","正在观望……"
"は力をためている・・・","正在蓄力……"
"は自爆した！","自爆了！"
"は逃げてしまった！","逃跑了！"
"は姿を変えた！","改变了形态！"
"のダメージを与えた！","造成了点伤害！"
"にダメージを与えられない！","未能对其造成伤害！"
"のダメージを受けた！","受到了点伤害！"
"はダメージを受けていない！","未受到伤害！"
"には効かなかった！","对其无效！"
"は平気だった！","毫发无损！"
"は眠らなかった！","未能入睡！"
"は攻撃をかわした！","闪避了攻击！"
"を使った！","使用了！"
"回復した！","恢复了！"
"上がった！","上升了！"
"下がった！","下降了！"
"奪った！","夺取了！"
"奪われた！","被夺走了！"
"に強くなった！","防御提升了！"
"に弱くなった！","防御下降了！"
"になった！","了！"
"を覚えた！","学会了！"
"「いらっしゃいませ」","「欢迎光临」"
"「ほかにご用件はございますか？」","「还有其他需要吗？」"
"購入する","购买"
"売却する","出售"
"やめる","离开"
"「何をお買い上げになりますか？」","「您想买些什么？」"
"「いくつお買い上げになりますか？」","「您想买多少个？」"
"「毎度ありがとうございます」","「感谢惠顾」"
"「何をお売りになりますか？」","「您想卖些什么？」"
"「いくつお売りになりますか？」","「您想卖多少个？」"
"「いらっしゃい！　今日はどんな用だい？」","「欢迎！今天有什么事吗？」"
"「ほかにも用があるかい？」","「还有其他事吗？」"
"「何を買うんだい？」","「想买什么啊？」"
"「いくつ買うんだい？」","「想买多少个啊？」"
"「ありがとよっ！」","「谢啦！」"
"「何を売るんだい？」","「想卖什么啊？」"
"「いくつ売るんだい？」","「想卖多少个啊？」"
"「こんにちは。どんなご用ですか？」","「您好。有什么事吗？」"
"「ほかにもご用がありますか？」","「还有其他事吗？」"
"「何を買ってくれますか？」","「您想买些什么？」"
"「いくつ買ってくれますか？」","「您想买多少个？」"
"「どうもありがとう」","「非常感谢」"
"「何を売ってくれますか？」","「您想卖些什么？」"
"「いくつ売ってくれますか？」","「您想卖多少个？」"
"「宿泊料金は","「住宿费用是」"
"になります。","。"
"お泊まりになりますか？」","您要住宿吗？」"
"泊まる","住宿"
"泊まらない","不住宿"
"「一泊","「一晚」"
"だが","但是"
"泊まっていくかい？」","要住下吗？」"
"所持数","持有数"
"装備数","装备数"
"Ｇ","G"
"戦う","战斗"
"オート","自动"
"逃げる","逃跑"
"攻撃","攻击"
"防御","防御"
"アイテム","物品"
"特殊技能","特殊技能"
"装備","装备"
"セーブ","存档"
"ゲーム終了","结束游戏"
"ニューゲーム","新游戏"
"コンティニュー","继续游戏"
"シャットダウン","退出"
"レベル","等级"
"ＨＰ","HP"
"ＭＰ","MP"
"正常","正常"
"Ｅ","E"
"Ｌ","L"
"Ｈ","H"
"Ｍ","M"
"消費ＭＰ","消耗MP"
"攻撃力","攻击力"
"防御力","防御力"
"精神力","精神力"
"敏捷性","敏捷"
"武器","武器"
"盾","盾"
"鎧","铠甲"
"兜","头盔"
"装飾品","装饰品"
"どのファイルにセーブしますか？","要保存到哪个文件？"
"どのファイルをロードしますか？","要读取哪个文件？"
"ファイル","文件"
"終了してよろしいですか？","确定要退出吗？"
"はい","是"
"いいえ","否"
